header,price_cad,sales,seller,details,description,availability,num_reviews
ZERO | paracord men/women fashion bracelet,8.18,121.0,blacksquirrel2019,"['Handmade item', 'Materials: Nylon', 'Adjustable: Yes', 'Made to Order']","ZERO by BlackSquirrel is an ultra-minimal bracelet to be used in your everyday. Although it is made in different sizes, thanks to a particular sliding knot, you can tighten it or enlarge it as you wish so you can find the perfect fit.Being adjustable it is an excellent gift idea when you do not know the wrist size of the person to whom the bracelet will go. The bracelet is handmade in our artisan workshop in Italy. The bracelet is in paracord 550 with over 50 colors available.Choose the right gift! Blacksquirrel ... clip your freedom!All Blacksquirrel accessories are made in Italy by hand and on commission. Once we receive your order, we will make a taylor made, unique, product with the colors  and size of your choice.IMPORTANTMeasure the circumference in the widest part of your wrist, where the bone protrudes. Use a sewing tape measure and wrap it around your wrist, not too tight, not too loose.Do not use other methods and do not measure other bracelets of yours.We ship worldwide. For any questions, do not hesitate to contact us.Visit our online stores, you will find many other items.SITE: https://www.blacksquirrelparacord.com/ETSY: https://www.etsy.com/it/shop/blacksquirrel2019?ref=seller-platform-mcnav",In stock,26
"Black Paracord Survival Bracelet w/ Fishing Line & Tinder built in,Buckle Includes Whistle, Fire Rod and Striker, and compass",19.99,169.0,SterlingSurvival,"['Handmade item', 'Materials: Plastic', 'Adjustable: No', 'Closure: Buckle\n\nBracelet width: 7/8 Inches']","**COVID-19 ANNOUNCEMENT: The current global pandemic may cause shipping delays beyond our normal and expected timelines. We suggest that you order your item(s) 4+ weeks ahead of the date you need them for. Thank you for your support!*Our Survival Bracelets are made with Fish N Fire Paracord that includes fire starting tinder and fishing line within the core. On the buckle, you'll find an emergency whistle, compass, and fire rod and striker. Useful for hunting, fishing, camping, hiking, outdoors, or just for style.Available in S, M, L and XL in 6 camo-themed colours: black, red, blue, pink, green, and tan. All of our products include a feature and instruction card! perfect for gifts!",In stock,20
Wide-cuffed Paracord Bracelet!,30.0,1.0,GorillaCordzCanada,"['Handmade item', 'Materials: Paracord', 'Adjustable: No', 'Closure: Buckle', 'Made to Order']","Durable and rugged enough for the outdoors, stylish enough for the city! Include this bracelet with your EDC to add style and practicality! Our bracelets are custom handmade to order! Made with strong and durable 550 paracord! Item description:Width - 1.5 (1 1/2) inchesThickness - 0.25 (1/4) inchesLength - will vary depending on wrist size550 Paracord - 7 strand innerPlastic side release buckleItems process in 2-3 business days.Can be customized with 2 colours. IF SELECTING 2 COLOURS, PLEASE LET US KNOW!Colours may not look exactly as in pictures.",In stock,No review
Stylish Paracord Bracelet,8.75,29.0,BraceletsandbeyondCa,"['Handmade item', 'Materials: Nylon', 'Adjustable: No', 'Closure: Buckle']","Stylish Paracord BraceletHandmade""A Must Have""Please message me for any questions!",In stock,10
Paracord 7” Bracelets,6.5,179.0,BrigsSandP,"['Handmade item', 'Materials: Paracord', 'Adjustable: No', 'Closure: Buckle', 'Can be personalised: Yes\n\nBracelet length: 7 Inches']","Video Game, Character & Dragon Paracord BraceletsFor all the gamers out there we can make any custom bracelet some examples: Minecraft, Enderman, Llama, Steve, Creeper, Fortnite, Fortnite Ninja, PewDiePie & Unspeakable. The 3rd photo is our colourful Dragon Paracord bracelet.LOCAL PICK UP AVAILABLE IN CALGARY Use code ""YYCPICKUP"" at checkout. Pick up is in Douglas Glen. Follow us on Instagram brigssandp",In stock,34
Paracord Bracelets Hand Made,8.5,29.0,BraceletsandbeyondCa,"['Handmade item', 'Materials: Nylon', 'Adjustable: No']","Handmade bracelets made with ""LOVE""I always had a passion in Arts and crafts and decided to start selling my products online.All of these products are made by me and handled with care.Message me for any other questions...Thank you!",In stock,10
Mad Max Inspired Adjustable Paracord Survival Bracelet - Various Colours UK,10.85,719.0,Paracordprojectsuk,No info,"This bracelet is the ‘Cobra Weave Design’ and features a sliding knot.As well as being very decorative and stylish, these bracelets - when unravelled in an emergency or survival situation - will give you a large amount of high quality military grade paracord. The amount will depend on the size of your wrist, but for example: an 8 inch bracelet will provide you with approximately 8 foot of cord.A must have for all soldiers, scouts, walkers, campers, cyclists and climbers, or just a good looking stylish bracelet!All my bracelets are handmade to order in the UK by myself and I aim to supply you as quickly as possible with a high quality bracelet.Please choose your colour & wrist size from the menu above. Follow the instructions below on how to measure your wrist correctly:1) To measure your wrist size you will first need Scissors, pen, ruler and a narrow piece of paper about an 1"" wide. This can be cut off of an A4 piece of paper length ways.2) Wrap the piece of paper lightly around your wrist. Do not pull too tight that it is uncomfortable but do not leave a big gap either. Once the paper is wrapped lightly around your wrist use a pen or pencil to mark the lapping edge. Remembering not to pull too tight.3) Lay the marked piece of paper next to a tape measure or ruler and write down the measurement to the nearest 1/4 of an inch. This is the size you need to select from the “dimensions” drop down menu above. Do not add any additional length to your measurement or you will end up with a poor fitting bracelet. Also choose a colour from the colour menu.That's it all done as easy as 1,2,3...",In stock,111
Mens paracord bracelet! Paracord bracelet mens. Personalized surfer paracord bracelet.,17.39,6897.0,ArtEngravingStudio,"['Handmade item\n\nBracelet width: 4 Millimetres\n\nMaterials: Polyester, Stainless steel', 'Adjustable: Yes', 'Can be personalised: Yes', 'Made to Order']","This personalized bracelet will be a great gift for the man from your life or for a couple. The coordinate bracelet can be personalized with the coordinates of a special place from your life ... the location of your first date, the place of a holiday or a vacation, as well as a ""hint"" of the place you want to visit ;)►To search for exact coordinates, use the convenient site:http://www.latlong.netENGRAVING BEADS:-----------------------------------------------All our personalized beads from jewelry stainless steel, we engrave your custom message into a beautiful keepsake that will last a lifetime. Once your message is engraved, we paint fill each letter with a black paint, and then hand polish and finish the bead for a fine jewelry type finish. ► Personalized text can be anything from initials, names, special dates to your short wishes and coordinates. Also your text can be in any language.✒️NOTE: we engrave only up to 14 characters including spaces (this is the limit for 1 line)! If no font is specified, Font #2 will be used.Depending on your message, we use:◆ Small bead - 12mm long, up to 3 characters including spaces◆ Middle bead - 22mm long, up to 8 characters including spaces◆ Big bead - 32mm long, up to 14 characters including spacesABOUT SIZE:-----------------------------------------------Please specify the most accurate size of your wrist. To do this, you can use a flexible measuring tape or take any thread, wrap around your wrist and then measure the length of this thread with a ruler.● To measure your wrist size you can use our measure tape. Download and print it by link:https://drive.google.com/open?id=1zfJYPX5j2YflFBaz8DNGQMnbwAsIOJM► If the bracelet is a gift and you can not reveal your secret to measure the size. You can use some ways:1) Watchband. If your loved one wears a watch, then measure the size of this watchband. Take note of how loosely the watch is worn, and if there is plenty of space.2) During sleep. When your loved one falls asleep deeply, try to measure the size of wrist with a thread or flexible measuring tape.3) Physiology as a guide.Delicate: Guys — 16-17 cm (6.3”-6.7”); Girls — 14-15 cm (5.5”-5.9”)Medium: Guys — 17.5-19 cm (6.88”- 7.48”); Girls — 15-16 cm (5.9”- 6.3”)Strong: Guys — 19.5+ cm (7.67”->); Girls — 17+ cm (6.7”->)✒️NOTE: This bracelet is adjustable in size. The bracelet can be reduced by 1-1.5 cm and increased to a very large size (with an increase in size, the adjustment knots will rise up the wrist - closer to the bead). Therefore, if you do not have the opportunity to measure your wrist, then you can specify the approximate size. If the bracelet is too large, you can shorten it yourself (we have a video instruction).For more bracelets click the link below:https://www.etsy.com/shop/ArtEngravingStudio?sectionid=26578993-----------------------------------------------♥ Love it ? Add it to your favorites by clicking on the heart to your right that says ""Favorite""With best wishes, ArtEngraving team",In stock,677
"Adjustable Paracord Bracelet, Rope bracelet, Paracord gift. Adjustable Multi-Coloured Paracord Bracelet",16.29,2728.0,NightWeaverCreations,No info,"Colourful, Hard Wearing & CoolThese vibrant, fully adjustable, double wrap Paracord bracelets will look great on any wrist.-Each bracelet is handmade from 4mm, USA 550 Paracord & is fully adjustable, just alter the length of the knot to get the perfect fit--The bracelet is completed with a great looking black carabiner style snap clasp securing everything in place--Great for the festival & surfing crowd, ideal as holiday bracelets and perfect for everyday wear-When ordering, please make your choice of colour from the drop down menu.The colour choice is in the same sequence as the LAST TWO PHOTOGRAPHS within the listing (1 to 52 from left to right) SizingFor this listing, I'll need to know your WRIST SIZE:STEP 1: Measure your wrist with thin flexible tape, a strip of paper or thin length of cord, just below the wrist bone, where you would normally wear the bracelet. The tape should be FIRM around the wrist but not too tight.STEP 2: If you're using a strip of paper or cord, mark your size with a pen or pencil then use a ruler to measure the length. SELECT THIS MEASUREMENT FROM THE DROP DOWN LIST.",In stock,471
Valknut - Paracord bracelet with Exclusive Amulet - Valknut with Runic Circle (Futhark),61.2,1236.0,ALEXPEDITION,"['Handmade item', 'Materials: Paracord', 'Adjustable: No', 'Style: Celtic', 'Can be personalised: No', 'Made to Order']","Valknut - Paracord bracelet with Exclusive Amulet - Valknut with Runic Circle (Futhark)📽 VIDEO Preview:  https://youtu.be/zb2Ufn-nAmk 🎞️Terms of ordering 15-30 daysAttention! When choosing a size, keep in mind that it is not the length of the bracelet. It is wrist size in circumference.",Low in stock,231
